ID;Router;Method;Path;Trạng thái;Lý do;UI / Page
api66;projects;POST;/api/projects/rehab;Chưa kết nối (high);"UI chỉ gọi GET list/detail/KPI; CRUD/phases/docs còn handler-only + workspace seed. Handler: handleProjectsRehabPost";—
api67;projects;POST;/api/projects/todos;Chưa kết nối (high);"UI chỉ gọi GET list/detail/KPI; CRUD/phases/docs còn handler-only + workspace seed. Handler: handleProjectsTodosPost";—
api68;auth;POST;/api/auth/2fa/[action];Chưa kết nối (high);"Session/me đã nối; magic-link/2FA/sessions list chưa có route Next. Handler: handleAuthTwoFaPost";—
api69;auth;POST;/api/auth/change-password;Chưa kết nối (high);"Session/me đã nối; magic-link/2FA/sessions list chưa có route Next. Handler: handleAuthChangePasswordPost";—
api70;auth;GET;/api/auth/ip;Chưa kết nối (high);"Session/me đã nối; magic-link/2FA/sessions list chưa có route Next. Handler: handleAuthIpGet";—
api71;auth;POST;/api/auth/magic-link;Chưa kết nối (high);"Session/me đã nối; magic-link/2FA/sessions list chưa có route Next. Handler: handleAuthMagicLinkPost";—
api72;auth;POST;/api/auth/reset-password;Chưa kết nối (high);"Session/me đã nối; magic-link/2FA/sessions list chưa có route Next. Handler: handleAuthResetPasswordPost";—
api73;auth;POST;/api/auth/revoke;Chưa kết nối (high);"Session/me đã nối; magic-link/2FA/sessions list chưa có route Next. Handler: handleAuthRevokePost";—
api74;auth;GET;/api/auth/sessions;Chưa kết nối (high);"Session/me đã nối; magic-link/2FA/sessions list chưa có route Next. Handler: handleSessionsGet";—
api75;stripe;POST;/api/stripe/checkout;Chưa kết nối (high);"Checkout/portal handlers có; chưa Next adapter + UI billing thật. Handler: handleStripeCheckoutPost";—
api76;stripe;POST;/api/stripe/invoices;Chưa kết nối (high);"Checkout/portal handlers có; chưa Next adapter + UI billing thật. Handler: handleStripeInvoicesPost";—
api77;stripe;POST;/api/stripe/payment-method;Chưa kết nối (high);"Checkout/portal handlers có; chưa Next adapter + UI billing thật. Handler: handleStripePaymentMethodPost";—
api78;stripe;POST;/api/stripe/portal;Chưa kết nối (high);"Checkout/portal handlers có; chưa Next adapter + UI billing thật. Handler: handleStripePortalPost";—
api79;stripe;GET;/api/stripe/session-status;Chưa kết nối (high);"Checkout/portal handlers có; chưa Next adapter + UI billing thật. Handler: handleStripeSessionStatusGet";—
api80;stripe;POST;/api/stripe/subscription;Chưa kết nối (high);"Checkout/portal handlers có; chưa Next adapter + UI billing thật. Handler: handleStripeSubscriptionPost";—
api81;stripe;POST;/api/stripe/webhook;Chưa kết nối (high);"Checkout/portal handlers có; chưa Next adapter + UI billing thật. Handler: handleStripeWebhookPost";—
api82;inbox;POST;/api/inbox;Chưa kết nối (high);Inbox UI dùng INBOX_THREADS seed, không fetch /api/inbox*. Handler: handleInboxPost;—
api83;inbox;DELETE;/api/inbox/[id];Chưa kết nối (high);Inbox UI dùng INBOX_THREADS seed, không fetch /api/inbox*. Handler: handleInboxByIdDelete;—
api84;inbox;PATCH;/api/inbox/[id];Chưa kết nối (high);Inbox UI dùng INBOX_THREADS seed, không fetch /api/inbox*. Handler: handleInboxByIdPatch;—
api85;inbox;POST;/api/inbox/[id]/actions;Chưa kết nối (high);Inbox UI dùng INBOX_THREADS seed, không fetch /api/inbox*. Handler: handleInboxActionsPost;—
api86;inbox;POST;/api/inbox/backfill;Chưa kết nối (high);Inbox UI dùng INBOX_THREADS seed, không fetch /api/inbox*. Handler: handleInboxBackfillPost;—
api87;billing;DELETE;/api/billing/*;Chưa kết nối (high);"Billing preview UI; chưa adapter /api/billing*. Handler: handleBillingDelete";—
api88;billing;GET;/api/billing/*;Chưa kết nối (high);"Billing preview UI; chưa adapter /api/billing*. Handler: handleBillingGet";—
api89;billing;POST;/api/billing/*;Chưa kết nối (high);"Billing preview UI; chưa adapter /api/billing*. Handler: handleBillingPost";—
api90;billing;PUT;/api/billing/*;Chưa kết nối (high);"Billing preview UI; chưa adapter /api/billing*. Handler: handleBillingPut";—
api91;messages;GET;/api/messages;Chưa kết nối (high);"Liên quan inbox; chưa Next route; search chạy trên seed client. Handler: handleMessagesGet";—
api92;messages;POST;/api/messages;Chưa kết nối (high);"Liên quan inbox; chưa Next route; search chạy trên seed client. Handler: handleMessagesPost";—
api93;messages;PATCH;/api/messages/[id]/read;Chưa kết nối (high);"Liên quan inbox; chưa Next route; search chạy trên seed client. Handler: handleMessageReadPatch";—
api94;messages;GET;/api/messages/thread/[threadId];Chưa kết nối (high);"Liên quan inbox; chưa Next route; search chạy trên seed client. Handler: handleMessagesThreadGet";—
api95;settings;DELETE;/api/settings/*;Chưa kết nối (high);Settings panels preview/localStorage, không fetch /api/settings*. Handler: handleSettingsDelete;—
api96;settings;GET;/api/settings/*;Chưa kết nối (high);Settings panels preview/localStorage, không fetch /api/settings*. Handler: handleSettingsGet;—
api97;settings;POST;/api/settings/*;Chưa kết nối (high);Settings panels preview/localStorage, không fetch /api/settings*. Handler: handleSettingsPost;—
api98;settings;PUT;/api/settings/*;Chưa kết nối (high);Settings panels preview/localStorage, không fetch /api/settings*. Handler: handleSettingsPut;—
api99;team;DELETE;/api/team/*;Chưa kết nối (high);Team Directory dùng TEAM_MEMBERS seed, không fetch /api/team*. Handler: handleTeamDelete;—
api100;team;GET;/api/team/*;Chưa kết nối (high);Team Directory dùng TEAM_MEMBERS seed, không fetch /api/team*. Handler: handleTeamGet;—
api101;team;POST;/api/team/*;Chưa kết nối (high);Team Directory dùng TEAM_MEMBERS seed, không fetch /api/team*. Handler: handleTeamPost;—
api102;team;PUT;/api/team/*;Chưa kết nối (high);Team Directory dùng TEAM_MEMBERS seed, không fetch /api/team*. Handler: handleTeamPut;—
api103;reil;POST;/api/reil/cron/refresh;Chưa kết nối (med);"REIL engine handlers; UI project chưa gọi các path này. Handler: handleReilCronRefreshPost";—
api104;reil;GET;/api/reil/listings;Chưa kết nối (med);"REIL engine handlers; UI project chưa gọi các path này. Handler: handleReilListingsGet";—
api105;reil;GET;/api/reil/market-stats;Chưa kết nối (med);"REIL engine handlers; UI project chưa gọi các path này. Handler: handleReilMarketStatsGet";—
api106;reil;GET;/api/reil/projects;Chưa kết nối (med);"REIL engine handlers; UI project chưa gọi các path này. Handler: handleReilProjectsGet";—
api107;reil;POST;/api/reil/projects;Chưa kết nối (med);"REIL engine handlers; UI project chưa gọi các path này. Handler: handleReilProjectsPost";—
api108;reil;GET;/api/reil/projects/[id];Chưa kết nối (med);"REIL engine handlers; UI project chưa gọi các path này. Handler: handleReilProjectByIdGet";—
api109;reil;PATCH;/api/reil/projects/[id];Chưa kết nối (med);"REIL engine handlers; UI project chưa gọi các path này. Handler: handleReilProjectByIdPatch";—
api110;reil;GET;/api/reil/projects/[id]/assignments;Chưa kết nối (med);"REIL engine handlers; UI project chưa gọi các path này. Handler: handleReilProjectAssignmentsGet";—
api111;reil;POST;/api/reil/projects/[id]/assignments;Chưa kết nối (med);"REIL engine handlers; UI project chưa gọi các path này. Handler: handleReilProjectAssignmentsPost";—
api112;reil;PATCH;/api/reil/projects/[id]/assignments/[aid];Chưa kết nối (med);"REIL engine handlers; UI project chưa gọi các path này. Handler: handleReilProjectAssignmentPatch";—
api113;reil;GET;/api/reil/projects/[id]/closing-ledger/export;Chưa kết nối (med);"REIL engine handlers; UI project chưa gọi các path này. Handler: handleReilClosingLedgerExportGet";—
api114;reil;POST;/api/reil/projects/[id]/invite;Chưa kết nối (med);"REIL engine handlers; UI project chưa gọi các path này. Handler: handleReilProjectInvitePost";—
api115;reil;POST;/api/reil/projects/[id]/property;Chưa kết nối (med);"REIL engine handlers; UI project chưa gọi các path này. Handler: handleReilProjectPropertyPost";—
api116;reil;GET;/api/reil/projects/[id]/status;Chưa kết nối (med);"REIL engine handlers; UI project chưa gọi các path này. Handler: handleReilProjectStatusGet";—
api117;reil;POST;/api/reil/projects/[id]/status;Chưa kết nối (med);"REIL engine handlers; UI project chưa gọi các path này. Handler: handleReilProjectStatusPost";—
api118;reil;GET;/api/reil/projects/[id]/terms;Chưa kết nối (med);"REIL engine handlers; UI project chưa gọi các path này. Handler: handleReilProjectTermsGet";—
api119;reil;POST;/api/reil/projects/[id]/terms;Chưa kết nối (med);"REIL engine handlers; UI project chưa gọi các path này. Handler: handleReilProjectTermsPost";—
api120;reil;GET;/api/reil/projects/[id]/valuation;Chưa kết nối (med);"REIL engine handlers; UI project chưa gọi các path này. Handler: handleReilProjectValuationGet";—
api121;reil;POST;/api/reil/projects/[id]/valuation;Chưa kết nối (med);"REIL engine handlers; UI project chưa gọi các path này. Handler: handleReilProjectValuationPost";—
api122;invitations;GET;/api/invitations/[token];Chưa kết nối (med);"Invite flows; UI team chưa gọi. Handler: handleInvitationsTokenGet";—
api123;invitations;POST;/api/invitations/[token]/ask;Chưa kết nối (med);"Invite flows; UI team chưa gọi. Handler: handleInvitationsTokenAskPost";—
api124;invitations;DELETE;/api/invitations/[token]/indication;Chưa kết nối (med);"Invite flows; UI team chưa gọi. Handler: handleInvitationsIndicationDelete";—
api125;invitations;POST;/api/invitations/[token]/indication;Chưa kết nối (med);"Invite flows; UI team chưa gọi. Handler: handleInvitationsIndicationPost";—
api126;invitations;POST;/api/invitations/[token]/subscribe;Chưa kết nối (med);"Invite flows; UI team chưa gọi. Handler: handleInvitationsSubscribePost";—
api127;invitations;POST;/api/invitations/[token]/subscription;Chưa kết nối (med);"Invite flows; UI team chưa gọi. Handler: handleInvitationsSubscriptionPost";—
api128;invitations;GET;/api/invitations/[token]/updates;Chưa kết nối (med);"Invite flows; UI team chưa gọi. Handler: handleInvitationsUpdatesGet";—
api129;invitations;GET;/api/invitations/accept;Chưa kết nối (med);"Invite flows; UI team chưa gọi. Handler: handleInvitationsAcceptGet";—
api130;invitations;POST;/api/invitations/broadcast;Chưa kết nối (med);"Invite flows; UI team chưa gọi. Handler: handleInvitationsBroadcastPost";—
api131;invitations;POST;/api/invitations/respond;Chưa kết nối (med);"Invite flows; UI team chưa gọi. Handler: handleInvitationsRespondPost";—
api132;invitations;POST;/api/invitations/send;Chưa kết nối (med);"Invite flows; UI team chưa gọi. Handler: handleInvitationsSendPost";—
api133;plaid;GET;/api/plaid/connections;Chưa kết nối (med);"Banking handlers có; chưa UI/adapter Next. Handler: handlePlaidConnectionsGet";—
api134;plaid;DELETE;/api/plaid/connections/[connectionId];Chưa kết nối (med);"Banking handlers có; chưa UI/adapter Next. Handler: handlePlaidConnectionByIdDelete";—
api135;plaid;POST;/api/plaid/connections/[connectionId]/disconnect;Chưa kết nối (med);"Banking handlers có; chưa UI/adapter Next. Handler: handlePlaidConnectionDisconnectPost";—
api136;plaid;DELETE;/api/plaid/connections/[connectionId]/pause;Chưa kết nối (med);"Banking handlers có; chưa UI/adapter Next. Handler: handlePlaidConnectionPauseDelete";—
api137;plaid;POST;/api/plaid/connections/[connectionId]/pause;Chưa kết nối (med);"Banking handlers có; chưa UI/adapter Next. Handler: handlePlaidConnectionPausePost";—
api138;plaid;POST;/api/plaid/create-link-token;Chưa kết nối (med);"Banking handlers có; chưa UI/adapter Next. Handler: handlePlaidCreateLinkTokenPost";—
api139;plaid;POST;/api/plaid/exchange-public-token;Chưa kết nối (med);"Banking handlers có; chưa UI/adapter Next. Handler: handlePlaidExchangePublicTokenPost";—
api140;plaid;POST;/api/plaid/exchange-v2;Chưa kết nối (med);"Banking handlers có; chưa UI/adapter Next. Handler: handlePlaidExchangePost";—
api141;plaid;POST;/api/plaid/exchange-v2;Chưa kết nối (med);"Banking handlers có; chưa UI/adapter Next. Handler: handlePlaidExchangeV2Post";—
api142;plaid;GET;/api/plaid/liabilities;Chưa kết nối (med);"Banking handlers có; chưa UI/adapter Next. Handler: handlePlaidLiabilitiesGet";—
api143;tax;POST;/api/tax/1040-es;Chưa kết nối (med);"Handler đã extract; chưa tạo apps/web/app/api adapter. Handler: handleTax1040EsPost";—
api144;tax;POST;/api/tax/package;Chưa kết nối (med);"Handler đã extract; chưa tạo apps/web/app/api adapter. Handler: handleTaxPackagePost";—
api145;tax;GET;/api/tax/share;Chưa kết nối (med);"Handler đã extract; chưa tạo apps/web/app/api adapter. Handler: handleTaxShareGet";—
api146;tax;POST;/api/tax/share;Chưa kết nối (med);"Handler đã extract; chưa tạo apps/web/app/api adapter. Handler: handleTaxSharePost";—
api147;tax;GET;/api/tax/share/[token];Chưa kết nối (med);"Handler đã extract; chưa tạo apps/web/app/api adapter. Handler: handleTaxShareTokenGet";—
api148;tax;POST;/api/tax/share/revoke;Chưa kết nối (med);"Handler đã extract; chưa tạo apps/web/app/api adapter. Handler: handleTaxShareRevokePost";—
api149;cron;GET;/api/cron/bridge-sync;Chưa kết nối (low);"Job server-side; không cần UI; chưa mount cron routes. Handler: handleCronBridgeSyncGet";—
api150;cron;GET;/api/cron/consent-audit;Chưa kết nối (low);"Job server-side; không cần UI; chưa mount cron routes. Handler: handleCronConsentAuditGet";—
api151;cron;GET;/api/cron/daily-sync;Chưa kết nối (low);"Job server-side; không cần UI; chưa mount cron routes. Handler: handleCronDailySyncGet";—
api152;cron;GET;/api/cron/lender-package-reminders;Chưa kết nối (low);"Job server-side; không cần UI; chưa mount cron routes. Handler: handleCronLenderPackageRemindersGet";—
api153;cron;GET;/api/cron/lifecycle-alerts;Chưa kết nối (low);"Job server-side; không cần UI; chưa mount cron routes. Handler: handleCronLifecycleAlertsGet";—
api154;cron;GET;/api/cron/process-daily-kpis;Chưa kết nối (low);"Job server-side; không cần UI; chưa mount cron routes. Handler: handleCronProcessDailyKpisGet";—
api155;cron;GET;/api/cron/process-deletions;Chưa kết nối (low);"Job server-side; không cần UI; chưa mount cron routes. Handler: handleCronProcessDeletionsGet";—
api156;cron;GET;/api/cron/process-email-notifications;Chưa kết nối (low);"Job server-side; không cần UI; chưa mount cron routes. Handler: handleCronProcessEmailNotificationsGet";—
api157;cron;GET;/api/cron/process-team-invites;Chưa kết nối (low);"Job server-side; không cần UI; chưa mount cron routes. Handler: handleCronProcessTeamInvitesGet";—
api158;cron;GET;/api/cron/refresh-place-ids;Chưa kết nối (low);"Job server-side; không cần UI; chưa mount cron routes. Handler: handleCronRefreshPlaceIdsGet";—
api159;cron;GET;/api/cron/retry-failed-connections;Chưa kết nối (low);"Job server-side; không cần UI; chưa mount cron routes. Handler: handleCronRetryFailedConnectionsGet";—
api160;cron;GET;/api/cron/send-digest;Chưa kết nối (low);"Job server-side; không cần UI; chưa mount cron routes. Handler: handleCronSendDigestGet";—
api161;cron;GET;/api/cron/snapshots;Chưa kết nối (low);"Job server-side; không cần UI; chưa mount cron routes. Handler: handleCronSnapshotsGet";—
api162;cron;GET;/api/cron/sync-financial-transactions;Chưa kết nối (low);"Job server-side; không cần UI; chưa mount cron routes. Handler: handleCronSyncFinancialTransactionsGet";—
api163;cron;GET;/api/cron/sync-liabilities;Chưa kết nối (low);"Job server-side; không cần UI; chưa mount cron routes. Handler: handleCronSyncLiabilitiesGet";—
api164;cron;GET;/api/cron/sync-plaid-liabilities;Chưa kết nối (low);"Job server-side; không cần UI; chưa mount cron routes. Handler: handleCronSyncPlaidLiabilitiesGet";—
api165;cron;GET;/api/cron/sync-transactions;Chưa kết nối (low);"Job server-side; không cần UI; chưa mount cron routes. Handler: handleCronSyncTransactionsGet";—
api166;webhooks;POST;/api/webhooks/bridge;Chưa kết nối (low);"Server-to-server; chưa mount webhook routes trên Next. Handler: handleBridgeWebhookPost";—
api167;webhooks;POST;/api/webhooks/docusign;Chưa kết nối (low);"Server-to-server; chưa mount webhook routes trên Next. Handler: handleDocuSignWebhookPost";—
api168;webhooks;GET;/api/webhooks/email-reply;Chưa kết nối (low);"Server-to-server; chưa mount webhook routes trên Next. Handler: handleEmailReplyGet";—
api169;webhooks;POST;/api/webhooks/email-reply;Chưa kết nối (low);"Server-to-server; chưa mount webhook routes trên Next. Handler: handleEmailReplyPost";—
api170;webhooks;POST;/api/webhooks/emails;Chưa kết nối (low);"Server-to-server; chưa mount webhook routes trên Next. Handler: handleInboundEmailsWebhookPost";—
api171;webhooks;POST;/api/webhooks/inbound-email;Chưa kết nối (low);"Server-to-server; chưa mount webhook routes trên Next. Handler: handleInboundEmailParsePost";—
api172;webhooks;POST;/api/webhooks/plaid;Chưa kết nối (low);"Server-to-server; chưa mount webhook routes trên Next. Handler: handlePlaidWebhookPost";—
api173;webhooks;GET;/api/webhooks/sendgrid;Chưa kết nối (low);"Server-to-server; chưa mount webhook routes trên Next. Handler: handleSendGridWebhookGet";—
api174;webhooks;POST;/api/webhooks/sendgrid;Chưa kết nối (low);"Server-to-server; chưa mount webhook routes trên Next. Handler: handleSendGridWebhookPost";—
api175;webhooks;POST;/api/webhooks/sourcing;Chưa kết nối (low);"Server-to-server; chưa mount webhook routes trên Next. Handler: handleWebhooksSourcingPost";—
